name,category,price,description,author,isbn,duration,badges,variations,quantity,is_available,is_featured,image_url
Fish Kottu,Kottu,900.00,"Chopped rotti tossed on the hot griddle with seasoned fish pieces, veggies, and spicy gravy.",,,,Seafood,Small: 900 | Large: 1100,,TRUE,FALSE,
Pork Kottu,Kottu,1000.00,Hearty chopped rotti griddled with spicy marinated pork cubes and roasted curry spices.,,,,Chef Special,Small: 1000 | Large: 1250,,TRUE,FALSE,
Beef Kottu,Kottu,1000.00,"Spiced chopped rotti infused with tender beef strips, fried onions, and chili curry gravy.",,,,Spicy,Small: 1000 | Large: 1250,,TRUE,FALSE,
Mixed Kottu,Kottu,1100.00,"All-in-one feast of chicken, seafood, eggs, and vegetables tossed on the hot steel plate.",,,,Popular,Small: 1100 | Large: 1350,,TRUE,FALSE,
Seafood Kottu,Kottu,1100.00,"Griddled chopped rotti loaded with fresh coastal prawns, cuttlefish, and aromatic spices.",,,,Seafood,Small: 1100 | Large: 1350,,TRUE,FALSE,
Vegetable Cheese Kottu,Cheese Kottu,800.00,Fresh vegetable kottu smothered in melted creamy cheddar cheese sauce.,,,,Vegetarian,Small: 800 | Large: 950,,TRUE,FALSE,
Egg Cheese Kottu,Cheese Kottu,900.00,Scrambled egg kottu blanketed with rich gooey cheese for a melt-in-the-mouth texture.,,,,Popular,Small: 900 | Large: 1200,,TRUE,FALSE,
Chicken Cheese Kottu,Cheese Kottu,1100.00,Hot griddled chicken kottu drenched in luscious melted cheese for the ultimate comfort food.,,,,Best Seller,Small: 1100 | Large: 1300,,TRUE,TRUE,
Fish Cheese Kottu,Cheese Kottu,1200.00,Tender fish kottu complemented by rich creamy cheese and fragrant Sri Lankan spices.,,,,Seafood,Small: 1200 | Large: 1400,,TRUE,FALSE,
Pork Cheese Kottu,Cheese Kottu,1300.00,Spicy pork kottu balanced with creamy melted cheese layers for rich savory indulgence.,,,,Chef Special,Small: 1300 | Large: 1500,,TRUE,FALSE,
Beef Cheese Kottu,Cheese Kottu,1300.00,Savory pepper beef kottu topped with bubbling melted cheese.,,,,Popular,Small: 1300 | Large: 1500,,TRUE,FALSE,
Mixed Cheese Kottu,Cheese Kottu,1350.00,"Loaded combination of chicken, seafood, and egg kottu baked under generous melted cheese.",,,,Chef Special,Small: 1350 | Large: 1500,,TRUE,FALSE,
Seafood Cheese Kottu,Cheese Kottu,1350.00,Prawns and cuttlefish chopped rotti drenched in velvety golden melted cheese.,,,,Seafood,Small: 1350 | Large: 1500,,TRUE,FALSE,
Chicken Devilled Kottu,Devilled Kottu,1400.00,"Fiery wok-fried devilled chicken chunks tossed with chopped rotti, bell peppers, and chili paste.",,,,Spicy,Small: 1400 | Large: 1650,,TRUE,TRUE,
Fish Devilled Kottu,Devilled Kottu,1450.00,Crispy devilled fish cubes and crunchy veggies tossed with spicy hot rotti on the griddle.,,,,"Spicy, Seafood",Small: 1450 | Large: 1750,,TRUE,FALSE,
Sausage Devilled Kottu,Devilled Kottu,1400.00,"Zesty devilled chicken sausages cut and tossed with onions, tomatoes, and spicy chopped rotti.",,,,Spicy,Small: 1400 | Large: 1650,,TRUE,FALSE,
Prawn Devilled Kottu,Devilled Kottu,1450.00,Succulent devilled ocean prawns stir-fried in sweet & spicy sauce with hot chopped rotti.,,,,"Spicy, Seafood",Small: 1450 | Large: 1750,,TRUE,FALSE,
Cuttlefish Devilled Kottu,Devilled Kottu,1450.00,Tender devilled calamari rings cooked in spicy chili glaze and chopped rotti.,,,,"Spicy, Seafood",Small: 1450 | Large: 1750,,TRUE,FALSE,
Pork Devilled Kottu,Devilled Kottu,1650.00,Crispy fried pork pieces glazed in devilled chili sauce tossed with hot godamba rotti.,,,,"Chef Special, Spicy",Small: 1650 | Large: 1850,,TRUE,FALSE,
Beef Devilled Kottu,Devilled Kottu,1850.00,"Spicy devilled beef strips wok-tossed with capsicum, red onions, and shredded rotti.",,,,Spicy,Small: 1850 | Large: 2150,,TRUE,FALSE,
Mutton Devilled Kottu,Devilled Kottu,2250.00,"Premium tender mutton braised and devilled with fiery chili paste, onions, and chopped rotti.",,,,"Chef Special, Spicy",Small: 2250 | Large: 2650,,TRUE,FALSE,
Mixed Devilled Kottu,Devilled Kottu,1850.00,"Ultimate devilled combination of chicken, seafood, and sausages wok-tossed with spicy rotti.",,,,"Popular, Spicy",Small: 1850 | Large: 2250,,TRUE,FALSE,
Seafood Devilled Kottu,Devilled Kottu,1850.00,"Loaded devilled prawns, calamari, and fish tossed with hot spicy kottu rotti.",,,,"Seafood, Spicy",Small: 1850 | Large: 2250,,TRUE,FALSE,
Vegetable Fried Rice (Keeri Samba),Fried Rice - Keeri Samba,550.00,"Fragrant Keeri Samba rice stir-fried with carrots, leeks, and cabbage in Asian seasoning.",,,,Vegetarian,Small: 550 | Large: 700 | Extreme Large: 1000,,TRUE,FALSE,
Egg Fried Rice (Keeri Samba),Fried Rice - Keeri Samba,600.00,Wok-tossed Keeri Samba rice with golden scrambled eggs and garden-fresh scallions.,,,,Popular,Small: 600 | Large: 750 | Extreme Large: 1100,,TRUE,FALSE,
Chicken Fried Rice (Keeri Samba),Fried Rice - Keeri Samba,700.00,Tender seasoned chicken cubes and eggs wok-fried with fragrant Keeri Samba rice.,,,,Best Seller,Small: 700 | Large: 850 | Extreme Large: 1200,,TRUE,TRUE,
Fish Fried Rice (Keeri Samba),Fried Rice - Keeri Samba,800.00,Flaked seasoned fish and vegetables tossed with steaming Keeri Samba rice.,,,,Seafood,Small: 800 | Large: 950 | Extreme Large: 1300,,TRUE,FALSE,
Sausage Fried Rice (Keeri Samba),Fried Rice - Keeri Samba,750.00,Sliced savory sausages and eggs wok-fried with aromatic Keeri Samba rice.,,,,Popular,Small: 750 | Large: 900 | Extreme Large: 1250,,TRUE,FALSE,
Prawn Fried Rice (Keeri Samba),Fried Rice - Keeri Samba,800.00,Plump fresh prawns and vegetables wok-tossed with Keeri Samba rice.,,,,Seafood,Small: 800 | Large: 980 | Extreme Large: 1300,,TRUE,FALSE,
Cuttlefish Fried Rice (Keeri Samba),Fried Rice - Keeri Samba,800.00,Tender calamari rings stir-fried with seasoned Keeri Samba rice and eggs.,,,,Seafood,Small: 800 | Large: 980 | Extreme Large: 1300,,TRUE,FALSE,
Mixed Fried Rice (Keeri Samba),Fried Rice - Keeri Samba,850.00,"Combination of chicken, seafood, sausages, and eggs wok-fried with Keeri Samba rice.",,,,Chef Special,Small: 850 | Large: 1100 | Extreme Large: 1400,,TRUE,FALSE,
Seafood Fried Rice (Keeri Samba),Fried Rice - Keeri Samba,900.00,"Loaded seafood medley of prawns, fish, and cuttlefish with Keeri Samba rice.",,,,"Seafood, Popular",Small: 900 | Large: 1150 | Extreme Large: 1500,,TRUE,FALSE,
Vegetable Fried Rice (Basmathi),Fried Rice - Basmathi,780.00,Premium long-grain Basmathi rice wok-tossed with crispy vegetables and oriental spices.,,,,Vegetarian,Small: 780 | Large: 980 | Extreme Large: 1350,,TRUE,FALSE,
Egg Fried Rice (Basmathi),Fried Rice - Basmathi,830.00,Fluffy Basmathi rice stir-fried with fresh farm eggs and aromatic herbs.,,,,Popular,Small: 830 | Large: 1150 | Extreme Large: 1450,,TRUE,FALSE,
Chicken Fried Rice (Basmathi),Fried Rice - Basmathi,900.00,Savory chicken bites and fluffy long-grain Basmathi rice tossed in high-heat wok.,,,,Best Seller,Small: 900 | Large: 1250 | Extreme Large: 1550,,TRUE,TRUE,
Fish Fried Rice (Basmathi),Fried Rice - Basmathi,1000.00,Seasoned fish chunks and veggies stir-fried with fragrant Basmathi rice.,,,,Seafood,Small: 1000 | Large: 1400 | Extreme Large: 1700,,TRUE,FALSE,
Sausage Fried Rice (Basmathi),Fried Rice - Basmathi,1000.00,Savory sliced sausages and scrambled egg tossed with gourmet Basmathi rice.,,,,Popular,Small: 1000 | Large: 1400 | Extreme Large: 1700,,TRUE,FALSE,
Prawn Fried Rice (Basmathi),Fried Rice - Basmathi,1100.00,Juicy ocean prawns wok-tossed with egg and aromatic long-grain Basmathi rice.,,,,Seafood,Small: 1100 | Large: 1500 | Extreme Large: 1800,,TRUE,FALSE,
Cuttlefish Fried Rice (Basmathi),Fried Rice - Basmathi,1100.00,Tender cuttlefish and egg stir-fried with premium fragrant Basmathi rice.,,,,Seafood,Small: 1100 | Large: 1500 | Extreme Large: 1800,,TRUE,FALSE,
Vegetable Fried Noodles,Fried Noodles,550.00,"Wok-tossed noodles with shredded cabbage, carrots, leeks, and oriental spices.",,,,Vegetarian,Small: 550 | Large: 700 | Extreme Large: 1000,,TRUE,FALSE,
Egg Fried Noodles,Fried Noodles,600.00,Classic stir-fried noodles mixed with scrambled farm eggs and fresh vegetables.,,,,Popular,Small: 600 | Large: 750 | Extreme Large: 1100,,TRUE,FALSE,
Chicken Fried Noodles,Fried Noodles,700.00,Juicy seasoned chicken cubes wok-tossed with egg noodles and garden veggies.,,,,Best Seller,Small: 700 | Large: 850 | Extreme Large: 1200,,TRUE,TRUE,
Fish Fried Noodles,Fried Noodles,800.00,Flaked tender fish fillet stir-fried with egg noodles and aromatic seasonings.,,,,Seafood,Small: 800 | Large: 950 | Extreme Large: 1300,,TRUE,FALSE,
Sausage Fried Noodles,Fried Noodles,750.00,Sliced chicken sausages and scrambled eggs tossed with delicious wok noodles.,,,,Popular,Small: 750 | Large: 900 | Extreme Large: 1250,,TRUE,FALSE,
Prawn Fried Noodles,Fried Noodles,800.00,Succulent ocean prawns wok-tossed with stir-fried noodles and crisp veggies.,,,,Seafood,Small: 800 | Large: 980 | Extreme Large: 1300,,TRUE,FALSE,
Cuttlefish Fried Noodles,Fried Noodles,800.00,"Tender calamari rings sautéed in high heat with noodles, egg, and vegetables.",,,,Seafood,Small: 800 | Large: 980 | Extreme Large: 1300,,TRUE,FALSE,
Mixed Fried Noodles,Fried Noodles,850.00,"Generous medley of chicken, seafood, sausages, and egg in flavorful stir-fried noodles.",,,,Chef Special,Small: 850 | Large: 1100 | Extreme Large: 1400,,TRUE,FALSE,
Seafood Fried Noodles,Fried Noodles,900.00,"Loaded ocean feast of prawns, calamari, and fish wok-tossed with egg noodles.",,,,"Seafood, Popular",Small: 900 | Large: 1150 | Extreme Large: 1500,,TRUE,FALSE,
Vegetable Set Menu (Keeri Samba),Set Menu - Keeri Samba,750.00,"Keeri Samba vegetable rice set served with assorted accompaniments, curries, and chili paste.",,,,Vegetarian,Small: 750 | Large: 900 | Extreme Large: 1300,,TRUE,FALSE,
Egg Set Menu (Keeri Samba),Set Menu - Keeri Samba,850.00,"Keeri Samba egg rice set served with fried egg, gravy, and traditional sides.",,,,Popular,Small: 850 | Large: 1050 | Extreme Large: 1400,,TRUE,FALSE,
Chicken Set Menu (Keeri Samba),Set Menu - Keeri Samba,850.00,"Complete Keeri Samba chicken meal set with seasoned roast/curry chicken, gravy, and condiments.",,,,Best Seller,Small: 850 | Large: 1150 | Extreme Large: 1500,,TRUE,TRUE,
Fish Set Menu (Keeri Samba),Set Menu - Keeri Samba,900.00,Keeri Samba rice set served with fried or curried fish portion and sides.,,,,Seafood,Small: 900 | Large: 1150 | Extreme Large: 1500,,TRUE,FALSE,
Vegetable Set Menu (Basmathi),Set Menu - Basmathi,950.00,"Long-grain Basmathi rice set served with seasoned garden vegetables, dhal, and accompaniments.",,,,Vegetarian,Small: 950 | Large: 1100 | Extreme Large: 1500,,TRUE,FALSE,
Egg Set Menu (Basmathi),Set Menu - Basmathi,1050.00,"Fragrant Basmathi rice set served with fried eggs, gravy, salad, and spicy sambal.",,,,Popular,Small: 1050 | Large: 1250 | Extreme Large: 1600,,TRUE,FALSE,
Chicken Set Menu (Basmathi),Set Menu - Basmathi,1050.00,"Premium Basmathi chicken meal set with tender spiced chicken, egg, and gravy.",,,,Best Seller,Small: 1050 | Large: 1350 | Extreme Large: 1700,,TRUE,TRUE,
Fish Set Menu (Basmathi),Set Menu - Basmathi,1100.00,"Fragrant Basmathi rice set served with delicious spiced fish, curry gravy, and sides.",,,,Seafood,Small: 1100 | Large: 1350 | Extreme Large: 1700,,TRUE,FALSE,
Nasi Goreng,Basmathi Special,2000.00,"Indonesian-style spicy fried Basmathi rice topped with sunny-side-up egg, prawns, chicken satay, and prawn crackers.",,,,"Chef Special, Popular",,,TRUE,TRUE,
Chicken Biriyani (Basmathi),Basmathi Special,2000.00,"Royal fragrant spiced Basmathi Biriyani served with tender spiced chicken, boiled egg, mint sambol, and raita.",,,,Best Seller,,,TRUE,TRUE,
Sigiri Special Rice,Basmathi Special,2150.00,Chef's signature special Basmathi rice preparation infused with aromatic spices and mixed meats.,,,,Chef Special,,,TRUE,FALSE,
Sigiri Special Mixed Rice,Basmathi Special,2250.00,"Grand mixed preparation of Basmathi rice loaded with chicken, seafood, sausages, and chef's special gravy.",,,,Popular,,,TRUE,FALSE,
Family Pack (Keeri Samba),Family Pack,3150.00,"Large sharing family platter of Keeri Samba rice with chicken portions, boiled eggs, chopsuey, and chili paste (Serves 4-5).",,,,Best Value,,,TRUE,TRUE,
Family Pack (Basmathi),Family Pack,3500.00,"Premium family feast with fragrant Basmathi rice, roasted chicken, boiled eggs, chopsuey, and sides (Serves 4-5).",,,,Best Value,,,TRUE,TRUE,
